ID	msisensorpro	reference_result
S0637	3.48	
S0638	3.47	
S0639	3.47	
S0640	3.47	
S0641	3.47	
S0642	3.46	
S0643	3.46	
S0644	3.46	
S0645	3.46	
S0646	3.46	
S0647	3.45	
S0648	3.44	
S0649	3.44	
S0650	3.44	
S0651	3.44	
S0652	3.44	
S0653	3.44	
S0654	3.43	
S0655	3.43	
S0656	3.43	
S0657	3.43	
S0658	3.41	
S0659	3.41	
S0660	3.41	
S0661	3.4	
S0662	3.4	
S0663	3.4	
S0664	3.4	
S0665	3.4	
S0666	3.39	
S0667	3.39	
S0668	3.39	
S0669	3.38	
S0670	3.38	
S0671	3.38	
S0672	3.38	
S0673	3.38	
S0674	3.38	
S0675	3.38	
S0676	3.37	
S0677	3.37	
S0678	3.35	
S0679	3.35	
S0680	3.35	
S0681	3.35	
S0682	3.35	
S0683	3.34	
S0684	3.33	
S0685	3.33	
S0686	3.33	
S0687	3.33	
S0688	3.33	
S0689	3.31	
S0690	3.31	
S0691	3.31	
S0692	3.31	
S0693	3.3	
S0694	3.3	
S0695	3.3	
S0696	3.29	
S0697	3.29	
S0698	3.29	
S0699	3.29	
S0700	3.28	
S0701	3.28	
S0702	3.27	
S0703	3.26	
S0704	3.26	
S0705	3.26	
S0706	3.25	
S0707	3.24	
S0708	3.24	
S0709	3.24	
S0710	3.23	
S0711	3.23	
S0712	3.23	
S0713	3.23	
S0714	3.22	
S0715	3.21	
S0716	3.2	
S0717	3.19	
S0718	3.19	
S0719	3.19	
S0720	3.18	
S0721	3.18	
S0722	3.18	
S0723	3.18	
S0724	3.17	
S0725	3.16	
S0726	3.16	
S0727	3.15	
S0728	3.15	
S0729	3.15	
S0730	3.15	
S0731	3.15	
S0732	3.14	
S0733	3.14	
S0734	3.14	
S0735	3.14	
S0736	3.13	
S0737	3.13	
S0738	3.12	
S0739	3.12	
S0740	3.12	
S0741	3.12	
S0742	3.12	
S0743	3.11	
S0744	3.11	
S0745	3.1	
S0746	3.1	
S0747	3.1	
S0748	3.1	
S0749	3.09	
S0750	3.09	
S0751	3.08	
S0752	3.08	
S0753	3.08	
S0754	3.07	
S0755	3.07	
S0756	3.07	
S0757	3.07	
S0758	3.06	
S0759	3.06	
S0760	3.05	
S0761	3.05	
S0762	3.05	
S0763	3.05	
S0764	3.05	
S0765	3.04	
S0766	3.04	
S0767	3.04	
S0768	3.04	
S0769	3.03	
S0770	3.03	
S0771	3.02	
S0772	3.02	
S0773	3.01	
S0774	3.01	
S0775	3.01	
S0776	3.01	
S0777	3	
S0778	3	
S0779	3	
S0780	2.99	
S0781	2.98	
S0782	2.98	
S0783	2.98	
S0784	2.98	
S0785	2.98	
S0786	2.97	
S0787	2.97	
S0788	2.96	
S0789	2.96	
S0790	2.95	
S0791	2.95	
S0792	2.95	
S0793	2.95	
S0794	2.94	
S0795	2.94	
S0796	2.94	
S0797	2.93	
S0798	2.93	
S0799	2.93	
S0800	2.92	
S0801	2.92	
S0802	2.92	
S0803	2.91	
S0804	2.91	
S0805	2.9	
S0806	2.9	
S0807	2.89	
S0808	2.89	
S0809	2.89	
S0810	2.89	
S0811	2.89	
S0812	2.89	
S0813	2.89	
S0814	2.89	
S0815	2.89	
S0816	2.88	
S0817	2.88	
S0818	2.87	
S0819	2.87	
S0820	2.87	
S0821	2.87	
S0822	2.87	
S0823	2.87	
S0824	2.87	
S0825	2.86	
S0826	2.86	
S0827	2.86	
S0828	2.86	
S0829	2.86	
S0830	2.85	
S0831	2.85	
S0832	2.84	
S0833	2.83	
S0834	2.83	
S0835	2.83	
S0836	2.83	
S0837	2.83	
S0838	2.82	
S0839	2.82	
S0840	2.82	
S0841	2.81	
S0842	2.8	
S0843	2.8	
S0844	2.8	
S0845	2.8	
S0846	2.8	
S0847	2.8	
S0848	2.8	
S0849	2.8	
S0850	2.79	
S0851	2.79	
S0852	2.79	
S0853	2.79	
S0854	2.79	
S0855	2.79	
S0856	2.78	
S0857	2.77	
S0858	2.77	
S0859	2.76	
S0860	2.76	
S0861	2.75	
S0862	2.75	
S0863	2.75	
S0864	2.75	
S0865	2.73	
S0866	2.73	
S0867	2.73	
S0868	2.72	
S0869	2.72	
S0870	2.72	
S0871	2.72	
S0872	2.72	
S0873	2.72	
S0874	2.71	
S0875	2.71	
S0876	2.71	
S0877	2.7	
S0878	2.7	
S0879	2.7	
S0880	2.7	
S0881	2.7	
S0882	2.69	
S0883	2.69	
S0884	2.69	
S0885	2.69	
S0886	2.69	
S0887	2.68	
S0888	2.68	
S0889	2.68	
S0890	2.68	
S0891	2.68	
S0892	2.67	
S0893	2.67	
S0894	2.67	
S0895	2.67	
S0896	2.67	
S0897	2.67	
S0898	2.67	
S0899	2.67	
S0900	2.66	
S0901	2.66	
S0902	2.66	
S0903	2.66	
S0904	2.66	
S0905	2.65	
S0906	2.65	
S0907	2.65	
S0908	2.64	
S0909	2.64	
S0910	2.64	
S0911	2.64	
S0912	2.64	
S0913	2.64	
S0914	2.64	
S0915	2.63	
S0916	2.62	
S0917	2.62	
S0918	2.62	
S0919	2.62	
S0920	2.62	
S0921	2.61	
S0922	2.61	
S0923	2.61	
S0924	2.61	
S0925	2.6	
S0926	2.6	
S0927	2.6	
S0928	2.6	
S0929	2.59	
S0930	2.59	
S0931	2.59	
S0932	2.59	
S0933	2.59	
S0934	2.59	
S0935	2.58	
S0936	2.58	
S0937	2.57	
S0938	2.57	
S0939	2.57	
S0940	2.57	
S0941	2.57	
S0942	2.56	
S0943	2.56	
S0944	2.56	
S0945	2.56	
S0946	2.56	
S0947	2.56	
S0948	2.55	
S0949	2.55	
S0950	2.55	
S0951	2.54	
S0952	2.54	
S0953	2.53	
S0954	2.53	
S0955	2.53	
S0956	2.52	
S0957	2.52	
S0958	2.52	
S0959	2.52	
S0960	2.52	
S0961	2.52	
S0962	2.51	
S0963	2.51	
S0964	2.51	
S0965	2.51	
S0966	2.51	
S0967	2.51	
S0968	2.5	
S0969	2.5	
S0970	2.5	
S0971	2.5	
S0972	2.5	
S0973	2.5	
S0974	2.49	
S0975	2.49	
S0976	2.49	
S0977	2.49	
S0978	2.49	
S0979	2.49	
S0980	2.49	
S0981	2.49	
S0982	2.49	
S0983	2.49	
S0984	2.48	
S0985	2.47	
S0986	2.47	
S0987	2.47	
S0988	2.46	
S0989	2.46	
S0990	2.46	
S0991	2.46	
S0992	2.46	
S0993	2.45	
S0994	2.45	
S0995	2.44	
S0996	2.44	
S0997	2.44	
S0998	2.44	
S0999	2.44	
S1000	2.44	
S1001	2.44	
S1002	2.43	
S1003	2.43	
S1004	2.42	
S1005	2.42	
S1006	2.42	
S1007	2.42	
S1008	2.42	
S1009	2.41	
S1010	2.4	
S1011	2.4	
S1012	2.4	
S1013	2.4	
S1014	2.39	
S1015	2.39	
S1016	2.39	
S1017	2.39	
S1018	2.39	
S1019	2.39	
S1020	2.38	
S1021	2.38	
S1022	2.38	
S1023	2.38	
S1024	2.37	
S1025	2.37	
S1026	2.37	
S1027	2.37	
S1028	2.37	
S1029	2.37	
S1030	2.36	
S1031	2.36	
S1032	2.36	
S1033	2.36	
S1034	2.36	
S1035	2.35	
S1036	2.35	
S1037	2.35	
S1038	2.35	
S1039	2.34	
S1040	2.34	
S1041	2.33	
S1042	2.33	
S1043	2.33	
S1044	2.32	
S1045	2.32	
S1046	2.32	
S1047	2.31	
S1048	2.31	
S1049	2.31	
S1050	2.31	
S1051	2.31	
S1052	2.31	
S1053	2.3	
S1054	2.3	
S1055	2.3	
S1056	2.29	
S1057	2.29	
S1058	2.29	
S1059	2.29	
S1060	2.29	
S1061	2.29	
S1062	2.29	
S1063	2.28	
S1064	2.28	
S1065	2.28	
S1066	2.28	
S1067	2.28	
S1068	2.28	
S1069	2.27	
S1070	2.27	
S1071	2.27	
S1072	2.27	
S1073	2.27	
S1074	2.26	
S1075	2.26	
S1076	2.26	
S1077	2.25	
S1078	2.25	
S1079	2.25	
S1080	2.24	
S1081	2.24	
S1082	2.23	
S1083	2.23	
S1084	2.23	
S1085	2.23	
S1086	2.23	
S1087	2.23	
S1088	2.23	
S1089	2.23	
S1090	2.22	
S1091	2.22	
S1092	2.22	
S1093	2.22	
S1094	2.22	
S1095	2.22	
S1096	2.22	
S1097	2.21	
S1098	2.21	
S1099	2.21	
S1100	2.2	
S1101	2.2	
S1102	2.2	
S1103	2.2	
S1104	2.2	
S1105	2.19	
S1106	2.19	
S1107	2.19	
S1108	2.18	
S1109	2.18	
S1110	2.18	
S1111	2.18	
S1112	2.18	
S1113	2.18	
S1114	2.18	
S1115	2.17	
S1116	2.17	
S1117	2.17	
S1118	2.17	
S1119	2.16	
S1120	2.15	
S1121	2.15	
S1122	2.15	
S1123	2.15	
S1124	2.14	
S1125	2.14	
S1126	2.14	
S1127	2.14	
S1128	2.13	
S1129	2.13	
S1130	2.13	
S1131	2.12	
S1132	2.12	
S1133	2.12	
S1134	2.12	
S1135	2.12	
S1136	2.12	
S1137	2.12	
S1138	2.11	
S1139	2.11	
S1140	2.11	
S1141	2.1	
S1142	2.1	
S1143	2.1	
S1144	2.09	
S1145	2.09	
S1146	2.09	
S1147	2.08	
S1148	2.08	
S1149	2.08	
S1150	2.08	
S1151	2.08	
S1152	2.08	
S1153	2.07	
S1154	2.07	
S1155	2.07	
S1156	2.07	
S1157	2.07	
S1158	2.07	
S1159	2.07	
S1160	2.07	
S1161	2.07	
S1162	2.07	
S1163	2.07	
S1164	2.06	
S1165	2.06	
S1166	2.06	
S1167	2.06	
S1168	2.06	
S1169	2.06	
S1170	2.06	
S1171	2.05	
S1172	2.05	
S1173	2.05	
S1174	2.04	
S1175	2.04	
S1176	2.03	
S1177	2.03	
S1178	2.03	
S1179	2.03	
S1180	2.03	
S1181	2.03	
S1182	2.03	
S1183	2.03	
S1184	2.02	
S1185	2.02	
S1186	2.02	
S1187	2.02	
S1188	2.02	
S1189	2.02	
S1190	2.01	
S1191	2.01	
S1192	2.01	
S1193	2.01	
S1194	2	
S1195	2	
S1196	2	
S1197	2	
S1198	2	
S1199	2	
S1200	2	
S1201	2	
S1202	2	
S1203	2	
S1204	2	
S1205	1.99	
S1206	1.99	
S1207	1.99	
S1208	1.99	
S1209	1.98	
S1210	1.97	
S1211	1.97	
S1212	1.97	
S1213	1.96	
S1214	1.96	
S1215	1.96	
S1216	1.96	
S1217	1.96	
S1218	1.96	
S1219	1.96	
S1220	1.96	
S1221	1.96	
S1222	1.96	
S1223	1.95	
S1224	1.95	
S1225	1.95	
S1226	1.95	
S1227	1.94	
S1228	1.94	
S1229	1.94	
S1230	1.94	
S1231	1.94	
S1232	1.94	
S1233	1.94	
S1234	1.93	
S1235	1.93	
S1236	1.92	
S1237	1.92	
S1238	1.92	
S1239	1.92	
S1240	1.92	
S1241	1.92	
S1242	1.91	
S1243	1.91	
S1244	1.91	
S1245	1.91	
S1246	1.91	
S1247	1.91	
S1248	1.91	
S1249	1.9	
S1250	1.9	
S1251	1.9	
S1252	1.9	
S1253	1.9	
S1254	1.89	
S1255	1.88	
S1256	1.88	
S1257	1.87	
S1258	1.87	
S1259	1.87	
S1260	1.87	
S1261	1.87	
S1262	1.87	
S1263	1.87	
S1264	1.86	
S1265	1.86	
S1266	1.86	
S1267	1.85	
S1268	1.85	
S1269	1.85	
S1270	1.85	
S1271	1.84	
S1272	1.84	
S1273	1.84	
S1274	1.84	
S1275	1.84	
S1276	1.84	
S1277	1.84	
S1278	1.84	
S1279	1.84	
S1280	1.84	
S1281	1.84	
S1282	1.84	
S1283	1.83	
S1284	1.83	
S1285	1.83	
S1286	1.83	
S1287	1.83	
S1288	1.83	
S1289	1.83	
S1290	1.83	
S1291	1.82	
S1292	1.82	
S1293	1.81	
S1294	1.81	
S1295	1.8	
S1296	1.8	
S1297	1.79	
S1298	1.79	
S1299	1.79	
S1300	1.79	
S1301	1.79	
S1302	1.78	
S1303	1.78	
S1304	1.78	
S1305	1.78	
S1306	1.78	
S1307	1.78	
S1308	1.78	
S1309	1.78	
S1310	1.78	
S1311	1.78	
S1312	1.78	
S1313	1.77	
S1314	1.77	
S1315	1.77	
S1316	1.77	
S1317	1.77	
S1318	1.77	
S1319	1.77	
S1320	1.77	
S1321	1.76	
S1322	1.76	
S1323	1.75	
S1324	1.75	
S1325	1.75	
S1326	1.75	
S1327	1.75	
S1328	1.74	
S1329	1.74	
S1330	1.74	
S1331	1.74	
S1332	1.74	
S1333	1.73	
S1334	1.73	
S1335	1.73	
S1336	1.73	
S1337	1.73	
S1338	1.73	
S1339	1.73	
S1340	1.73	
S1341	1.72	
S1342	1.72	
S1343	1.72	
S1344	1.72	
S1345	1.72	
S1346	1.72	
S1347	1.71	
S1348	1.71	
S1349	1.71	
S1350	1.71	
S1351	1.7	
S1352	1.7	
S1353	1.69	
S1354	1.69	
S1355	1.69	
S1356	1.68	
S1357	1.68	
S1358	1.68	
S1359	1.68	
S1360	1.67	
S1361	1.67	
S1362	1.67	
S1363	1.67	
S1364	1.67	
S1365	1.67	
S1366	1.67	
S1367	1.67	
S1368	1.66	
S1369	1.66	
S1370	1.66	
S1371	1.66	
S1372	1.66	
S1373	1.66	
S1374	1.66	
S1375	1.66	
S1376	1.66	
S1377	1.66	
S1378	1.66	
S1379	1.66	
S1380	1.65	
S1381	1.65	
S1382	1.65	
S1383	1.65	
S1384	1.64	
S1385	1.64	
S1386	1.63	
S1387	1.63	
